127.0.0.1, 2015-10-06 18:04:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2015-10-06 18:04:53, GET, /myapp/default/index, HTTP/1.1, 200, 0.006197
127.0.0.1, 2015-10-06 18:04:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/default/index, HTTP/1.1, 200, 0.011372
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000878
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.001375
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001890
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001035
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000346
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.000958
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.001199
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/web2py.js, HTTP/1.1, 304, 0.000620
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000683
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.000687
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000751
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.000293
127.0.0.1, 2015-10-06 18:06:52, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000286
127.0.0.1, 2015-10-06 18:07:00, GET, /myapp/default/first, HTTP/1.1, 200, 0.012058
127.0.0.1, 2015-10-06 18:07:03, GET, /myapp/default/second, HTTP/1.1, 200, 0.011250
127.0.0.1, 2015-10-06 18:07:05, GET, /myapp/default/first, HTTP/1.1, 200, 0.013927
127.0.0.1, 2015-10-06 18:07:08, GET, /myapp/default/second, HTTP/1.1, 200, 0.014626
127.0.0.1, 2015-10-06 18:08:06, GET, /myapp/default/first, HTTP/1.1, 200, 0.010543
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/default/first, HTTP/1.1, 200, 0.011973
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000861
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.001263
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/css/calendar.css, HTTP/1.1, 304, 0.001721
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000698
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001712
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/calendar.js, HTTP/1.1, 304, 0.000292
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003262
127.0.0.1, 2015-10-06 18:10:25, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000644
